dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,cwe_flag_count
53,17,3.076895,2,1,194,133,97,97,97.0,0.0,133,133,133.0,0.0,106.27596976822414,0.9750088969561848,1.5384475,1.5384475,3.076895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,0.6500059313041232,0.3250029656520616,97,133,109.0,16.97056274847714,288.0,0,0,0,0,0,0,0,0.5,109.0,97.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,2,194,1,133,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.017096,2,1,178,89,89,89,89.0,0.0,89,89,89.0,0.0,15617.688348151614,175.4796443612541,0.008548,0.008548,0.017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,116.9864295741694,58.493214787084696,89,89,89.0,0.0,0.0,0,0,0,0,0,0,0,0.5,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2,178,1,89,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.016563,2,1,178,281,89,89,89.0,0.0,281,281,281.0,0.0,27712.370947292155,181.12660749864156,0.0082815,0.0082815,0.016563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,120.75107166576102,60.37553583288051,89,281,153.0,90.50966799187808,8192.0,0,0,0,0,0,0,0,0.5,153.0,89.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,2,178,1,281,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,7.603435,3,2,249,160,89,71,83.0,8.48528137423857,89,71,80.0,9.0,53.7914771415814,0.6575975200682324,1.90085875,3.272105521620702,7.568298,0.0,7.584816,3.792408,3.792408,7.584816,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,40,0.3945585120409394,0.2630390080272929,71,89,81.8,8.818163074019441,77.76,0,0,0,0,0,0,0,0.6666666666666666,81.8,83.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3,249,2,160,0,0,3,20,0,0,0,0,0,0,0,0,0
53,17,0.019485,2,1,168,195,84,84,84.0,0.0,195,195,195.0,0.0,18629.71516551193,153.96458814472672,0.0097425,0.0097425,0.019485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,102.64305876315116,51.32152938157557,84,195,121.0,52.32590180780452,2738.0,0,0,0,0,0,0,0,0.5,121.0,84.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,2,168,1,195,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.529762,2,1,168,179,84,84,84.0,0.0,179,179,179.0,0.0,655.0111182002485,5.662920330261514,0.264881,0.264881,0.529762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,3.775280220174343,1.8876401100871716,84,179,115.66666666666669,44.78342947514801,2005.5555555555557,0,0,0,0,0,0,0,0.5,115.66666666666669,84.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,2,168,1,179,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.014567,2,1,204,102,102,102,102.0,0.0,102,102,102.0,0.0,21006.3842932656,205.94494405162357,0.0072835,0.0072835,0.014567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,137.29662936774903,68.64831468387452,102,102,102.0,0.0,0.0,0,0,0,0,0,0,0,0.5,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,2,204,1,102,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.095328,2,1,150,148,75,75,75.0,0.0,148,148,148.0,0.0,3126.0490097348106,31.47029204431017,0.047664,0.047664,0.095328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,20.98019469620678,10.49009734810339,75,148,99.33333333333331,34.41253001774531,1184.2222222222222,0,0,0,0,0,0,0,0.5,99.33333333333331,75.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150,1,148,0,0,2,20,0,0,0,0,0,0,0,0,0
80,6,0.044071,5,3,611,468,355,54,122.2,116.74313684324233,352,54,156.0,138.63140577324702,24483.22025821969,181.52526604796805,0.0062958571428571,0.0095639027214472,0.022848,0.0,0.044071,0.01101775,0.0105424593993764,0.02306,0.0,0.024194,0.012097,0.010751,0.022848,0.001346,1,1,0,0,100,60,113.45329127998004,68.07197476798802,54,355,134.875,126.46287745816952,15992.859375,0,3,0,2,6,0,0,0.6,134.875,122.2,156.0,0.0,0.0,0.0,0.0,0.0,0.0,5,611,3,468,64240,32768,1,20,0,0,0,0,0,0,0,0,0
53,17,0.015899,2,1,150,132,75,75,75.0,0.0,132,132,132.0,0.0,17736.96458896786,188.69111264859424,0.0079495,0.0079495,0.015899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,125.79407509906284,62.89703754953142,75,132,94.0,26.87005768508881,722.0,0,0,0,0,0,0,0,0.5,94.0,75.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150,1,132,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.016641,2,1,150,116,75,75,75.0,0.0,116,116,116.0,0.0,15984.61630911604,180.27762754642148,0.0083205,0.0083205,0.016641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,120.18508503094766,60.09254251547383,75,116,88.66666666666667,19.3275853524323,373.5555555555556,0,0,0,0,0,0,0,0.5,88.66666666666667,75.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150,1,116,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.068396,2,1,174,87,87,87,87.0,0.0,87,87,87.0,0.0,3816.01263231768,43.86221416457103,0.034198,0.034198,0.068396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,29.241476109714014,14.620738054857007,87,87,87.0,0.0,0.0,0,0,0,0,0,0,0,0.5,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,2,174,1,87,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.040719,2,1,150,91,75,75,75.0,0.0,91,91,91.0,0.0,5918.612932537636,73.67567965814484,0.0203595,0.0203595,0.040719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49.117119772096565,24.558559886048283,75,91,80.33333333333333,7.542472332656507,56.88888888888889,0,0,0,0,0,0,0,0.5,80.33333333333333,75.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150,1,91,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.039706,2,1,150,75,75,75,75.0,0.0,75,75,75.0,0.0,5666.649876592958,75.55533168790612,0.019853,0.019853,0.039706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,50.370221125270746,25.185110562635373,75,75,75.0,0.0,0.0,0,0,0,0,0,0,0,0.5,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2,150,1,75,0,0,2,20,0,0,0,0,0,0,0,0,0
443,6,1.124182,179,313,16468,385201,1954,54,92.0,149.03218504326824,1514,54,1230.6741214057508,546.5794499257149,357298.9071164633,437.6515546415082,0.0022895763747454,0.018385050016847,0.292795,0.0,1.124182,0.0063156292134831,0.0301360189101041,0.292795,0.0,1.109909,0.0035574006410256,0.0237666227606123,0.293091,0.0,45,266,0,0,3580,6260,159.22688674965443,278.4246678918538,54,1954,816.400406504065,705.8601771417846,498238.58967463154,0,3,0,311,490,0,0,1.7486033519553073,816.400406504065,92.0,1230.6741214057508,1273.3333333333333,11.666666666666666,265850.09395225835,52231.42857142857,37.42857142857143,6108326.650628175,179,16468,313,385201,64240,32768,45,20,0,0,0,0,0,0,0,0,0
443,6,0.05721,13,12,2839,5116,1954,54,218.3846153846154,502.0008486755833,1514,54,426.3333333333333,622.3063732778431,139049.11728718758,436.9865408145429,0.0023837499999999,0.0051170900605226,0.016752,0.0,0.05721,0.0047675,0.006494000468381,0.016975,0.0,0.044198,0.004018,0.0061982176617006,0.016752,0.0,4,5,0,0,260,240,227.23300122356235,209.7535395909806,54,1954,318.2,572.4711346434857,327723.19999999995,2,3,1,9,22,0,0,0.9230769230769232,318.2,218.3846153846154,426.3333333333333,0.0,0.0,0.0,4436.0,4.0,4635318.704284222,13,2839,12,5116,64240,32768,4,20,0,0,0,0,0,0,0,0,0
53,17,0.043134,2,1,160,144,80,80,80.0,0.0,144,144,144.0,0.0,7047.804516158947,69.55070246209488,0.021567,0.021567,0.043134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,46.36713497472992,23.18356748736496,80,144,101.33333333333331,30.169889330626027,910.2222222222222,0,0,0,0,0,0,0,0.5,101.33333333333331,80.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,2,160,1,144,0,0,2,20,0,0,0,0,0,0,0,0,0
