dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,cwe_flag_count
53,17,0.014948,2,1,194,197,97,97,97.0,0.0,197,197,197.0,0.0,26157.34546427616,200.6957452502007,0.007474,0.007474,0.014948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,133.7971635001338,66.8985817500669,97,197,130.33333333333334,47.14045207910317,2222.222222222222,0,0,0,0,0,0,0,0.5,130.33333333333334,97.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,2,194,1,197,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.014886,2,1,194,133,97,97,97.0,0.0,133,133,133.0,0.0,21966.94881096332,201.53164046755344,0.007443,0.007443,0.014886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,134.3544269783689,67.17721348918447,97,133,109.0,16.97056274847714,288.0,0,0,0,0,0,0,0,0.5,109.0,97.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,2,194,1,133,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.009136,2,1,164,82,82,82,82.0,0.0,82,82,82.0,0.0,26926.444833625217,328.37127845884413,0.004568,0.004568,0.009136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,218.91418563922943,109.45709281961472,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0.5,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,2,164,1,82,0,0,2,20,0,0,0,0,0,0,0,0,0
443,6,0.044277,10,9,3450,2329,2423,54,345.0,701.3275982021527,1498,54,258.77777777777777,454.68860596573313,130519.23120355942,429.11669715653727,0.0024598333333333,0.0055503859250205,0.019746,0.0,0.044111,0.0049012222222222,0.0070988588563041,0.019782,0.0,0.024531,0.003066375,0.0050393597544107,0.015918,0.0,5,2,0,0,200,180,225.8508932402828,203.2658039162545,54,2423,304.1578947368421,598.8802940890604,358657.60664819943,0,3,0,7,17,0,0,0.9,304.1578947368421,345.0,258.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,10,3450,9,2329,64240,32768,5,20,0,0,0,0,0,0,0,0,0
53,17,0.029112,2,1,148,203,74,74,74.0,0.0,203,203,203.0,0.0,12056.883759274526,103.05028854080793,0.014556,0.014556,0.029112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,68.70019236053861,34.350096180269304,74,203,117.0,60.81118318204309,3698.0,0,0,0,0,0,0,0,0.5,117.0,74.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,1,203,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.090412,2,1,148,187,74,74,74.0,0.0,187,187,187.0,0.0,3705.2603636685394,33.18143609255409,0.045206,0.045206,0.090412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,22.12095739503605,11.060478697518027,74,187,111.66666666666669,53.26871084938658,2837.555555555555,0,0,0,0,0,0,0,0.5,111.66666666666669,74.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,2,148,1,187,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.00537,2,1,172,86,86,86,86.0,0.0,86,86,86.0,0.0,48044.69273743017,558.659217877095,0.002685,0.002685,0.00537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,372.43947858473,186.219739292365,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0.5,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,2,172,1,86,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.014778,2,1,172,86,86,86,86.0,0.0,86,86,86.0,0.0,17458.38408444986,203.00446609825417,0.007389,0.007389,0.014778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,135.33631073216944,67.66815536608472,86,86,86.0,0.0,0.0,0,0,0,0,0,0,0,0.5,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,2,172,1,86,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.029703,2,1,158,183,79,79,79.0,0.0,183,183,183.0,0.0,11480.32185301148,100.999899000101,0.0148515,0.0148515,0.029703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,67.33326600006733,33.66663300003366,79,183,113.66666666666669,49.02607016226729,2403.555555555555,0,0,0,0,0,0,0,0.5,113.66666666666669,79.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,2,158,1,183,0,0,2,20,0,0,0,0,0,0,0,0,0
53,17,0.015662,2,1,158,225,79,79,79.0,0.0,225,225,225.0,0.0,24454.092708466356,191.54641808198187,0.007831,0.007831,0.015662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,127.69761205465458,63.84880602732729,79,225,127.66666666666669,68.82506003549064,4736.88888888889,0,0,0,0,0,0,0,0.5,127.66666666666669,79.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,2,158,1,225,0,0,2,20,0,0,0,0,0,0,0,0,0
